Format Version,1.23,Take Name,V03A_004,Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2022-01-11 02.42.12.212 ,Total Frames in Take,67,Total Exported Frames,67,Rotation Type,XZY,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,
433,0.14,12.207084,-8.024095,-5.963927,-0.037493,0.877458,-1.023683,-1.409174,-1.01298,-1.734938,0.121457,0.578172,-1.022337,98.670937,-7.711182,-7.544632,0.099552,0.447154,-1.216724,98.829216,0.763324,-3.433182,0.042706,0.424871,-1.477084,-11.108588,4.843996,-5.394525,-0.182602,0.617156,-1.010686,19.631187,7.402445,17.402575,-0.142917,0.268066,-1.058967,5.717717,-3.55006,7.338624,-0.088238,0.024097,-1.029991
434,0.15,12.186048,-7.263584,-4.757472,-0.036583,0.880061,-0.995374,-4.725387,-0.729859,-1.256709,0.122149,0.582418,-0.982738,96.452148,-7.42391,-8.374874,0.099249,0.440665,-1.16772,95.383591,0.716853,-5.083189,0.040976,0.405441,-1.426611,-8.428397,4.626364,-5.342749,-0.182334,0.617788,-0.991169,21.047735,7.404047,18.1957,-0.143265,0.268398,-1.052471,6.405932,-3.29592,7.493576,-0.088472,0.02464,-1.029702
435,0.16,12.426139,-6.400496,-3.537971,-0.035777,0.883835,-0.966642,-8.252416,-0.669308,-0.279796,0.122738,0.589246,-0.943642,93.308464,-7.048306,-9.348656,0.098763,0.434643,-1.119125,91.27523,0.338218,-6.506732,0.039025,0.383264,-1.375227,-5.535045,4.380911,-4.831229,-0.181693,0.619656,-0.972373,22.467642,7.319318,19.110699,-0.143751,0.270273,-1.04669,7.241421,-2.707427,7.739178,-0.088844,0.025629,-1.029363
436,0.17,12.912183,-5.50543,-2.455576,-0.035112,0.888661,-0.937382,-11.814739,-0.888996,1.118068,0.123188,0.598164,-0.905435,89.288734,-6.632626,-10.398438,0.098104,0.429065,-1.071181,86.585152,-0.27897,-7.549974,0.03687,0.358789,-1.322556,-2.554935,4.245272,-3.917336,-0.180575,0.622871,-0.953973,23.684792,7.170411,19.867414,-0.144295,0.273775,-1.041475,8.362196,-1.683772,8.083512,-0.089329,0.027184,-1.028905
437,0.18,13.484234,-4.567707,-1.598016,-0.034655,0.894423,-0.907613,-15.184295,-1.39656,2.677269,0.123498,0.608506,-0.868252,84.487679,-6.318304,-11.457498,0.097295,0.423828,-1.024069,81.375984,-1.092606,-8.064417,0.034613,0.332482,-1.268161,0.45506,4.304112,-2.874472,-0.179111,0.62748,-0.9356,24.562508,7.002476,20.302668,-0.144857,0.279012,-1.036541,9.903968,-0.159242,8.524677,-0.089898,0.029419,-1.028235
438,0.19,13.997976,-3.540552,-0.999857,-0.034443,0.901015,-0.877347,-18.125362,-2.130802,3.95513,0.123749,0.61963,-0.83202,79.005318,-6.137635,-12.342453,0.096325,0.418701,-0.977814,75.709694,-2.01263,-7.980292,0.032397,0.304905,-1.211689,3.503368,4.497839,-1.776386,-0.177406,0.633346,-0.916953,25.161032,6.793069,20.371367,-0.145428,0.286057,-1.031498,11.976159,1.843637,9.055127,-0.090563,0.032416,-1.027282
439,0.2,14.398622,-2.417366,-0.652154,-0.034443,0.908295,-0.846617,-20.486845,-2.987674,4.648796,0.124074,0.631067,-0.796592,72.901932,-5.941245,-12.71894,0.095227,0.413409,-0.932335,69.646988,-2.920461,-7.296293,0.030376,0.276704,-1.152869,6.5565,4.670733,-0.607222,-0.175555,0.640204,-0.897769,25.619452,6.544112,20.039581,-0.145969,0.294837,-1.025961,14.647916,4.19833,9.668299,-0.091347,0.036229,-1.025978
440,0.21,14.688376,-1.231917,-0.50417,-0.034565,0.916072,-0.81551,-22.225618,-3.855626,4.796437,0.124548,0.642499,-0.761825,66.004066,-5.565501,-12.2325,0.094145,0.407859,-0.887341,63.27607,-3.65881,-6.083333,0.028704,0.248516,-1.091614,9.510221,4.723893,0.600598,-0.173696,0.647722,-0.877832,26.019341,6.32675,19.264004,-0.146371,0.305082,-1.019544,17.953323,6.607305,10.360055,-0.092269,0.040903,-1.024284
441,0.22,14.893984,-0.009862,-0.452683,-0.034612,0.924123,-0.784082,-23.376207,-4.634175,4.561035,0.125156,0.653698,-0.727688,58.435555,-5.289555,-11.10823,0.093094,0.402187,-0.842835,56.729198,-4.073232,-4.523326,0.027445,0.220951,-1.027996,12.267784,4.678873,1.8337,-0.171958,0.655579,-0.857006,26.393602,6.119582,18.098946,-0.146604,0.316438,-1.011893,21.921852,8.659886,11.114952,-0.093346,0.04647,-1.022235
442,0.23,15.066479,1.22259,-0.448273,-0.034538,0.932203,-0.752388,-24.002359,-5.237795,4.075564,0.125798,0.664435,-0.694277,51.745335,-5.807658,-10.287493,0.091732,0.395089,-0.799443,50.077133,-4.175397,-2.853271,0.026525,0.194578,-0.962123,14.783386,4.607713,3.085808,-0.17042,0.663558,-0.835233,26.754068,5.796669,16.706184,-0.146702,0.328573,-1.002765,26.587704,10.108916,11.850097,-0.094528,0.05299,-1.020007
443,0.24,15.259484,2.434767,-0.442798,-0.034277,0.94006,-0.720499,-24.141562,-5.669905,3.413249,0.126279,0.674419,-0.661708,45.682903,-7.154791,-9.890837,0.090227,0.386737,-0.75636,43.339333,-4.109712,-1.319011,0.025842,0.1699,-0.894206,17.087734,4.585619,4.33261,-0.169098,0.67145,-0.81252,27.165066,5.324306,15.219299,-0.146616,0.341274,-0.992087,31.906099,10.869418,12.331012,-0.095612,0.060638,-1.017736
444,0.25,15.508459,3.580934,-0.40835,-0.033778,0.947461,-0.688474,-23.798155,-5.956672,2.633434,0.126471,0.683367,-0.63014,39.940243,-8.70156,-9.655908,0.088868,0.377555,-0.713403,36.602921,-3.976027,-0.145564,0.025313,0.147343,-0.824631,19.232115,4.640545,5.490911,-0.168028,0.67906,-0.788901,27.777109,4.81715,13.732894,-0.146269,0.354333,-0.979881,37.620346,10.9665,12.339998,-0.096353,0.069711,-1.015534
445,0.26,15.833283,4.602712,-0.339599,-0.033079,0.954201,-0.656418,-23.014225,-6.053876,1.883911,0.126411,0.691095,-0.599755,33.99189,-9.84508,-9.233093,0.08807,0.368064,-0.669769,29.985197,-3.839766,0.511965,0.024864,0.12726,-0.7539,21.198555,4.779181,6.416079,-0.167205,0.686253,-0.764317,28.81074,4.411388,12.390469,-0.145645,0.36754,-0.966113,43.240837,10.645433,11.904967,-0.09676,0.080595,-1.013597
446,0.27,16.233753,5.443769,-0.232133,-0.032273,0.960108,-0.624447,-21.87533,-5.95272,1.292052,0.126101,0.697401,-0.570579,27.878839,-9.691015,-7.936532,0.088331,0.358967,-0.626646,23.523327,-3.86002,0.610376,0.024416,0.110007,-0.682535,22.89846,5.000751,6.986647,-0.166502,0.692908,-0.738708,30.517611,4.185814,11.283394,-0.144743,0.380803,-0.950749,48.222202,10.279336,11.191387,-0.096953,0.093728,-1.01185
447,0.28,16.678131,6.054919,-0.081984,-0.031461,0.965069,-0.592673,-20.504978,-5.727828,0.883575,0.125567,0.702055,-0.542453,21.789022,-9.013627,-6.381168,0.089417,0.35068,-0.584439,17.234066,-4.189214,0.235939,0.023947,0.095937,-0.611241,24.245287,5.23457,7.148609,-0.165782,0.698829,-0.712001,33.033665,4.150322,10.398113,-0.143538,0.394013,-0.933847,52.315144,10.034475,10.371716,-0.096912,0.109258,-1.009828
448,0.29,17.112003,6.408719,0.107101,-0.030739,0.969015,-0.561185,-19.044153,-5.47927,0.584476,0.125022,0.704892,-0.515138,16.139202,-8.600512,-5.182587,0.090774,0.342703,-0.542839,11.221686,-4.850586,-0.437287,0.023542,0.085241,-0.540982,25.110369,5.365378,6.930304,-0.165,0.703776,-0.684074,36.257187,4.273294,9.689917,-0.142032,0.407029,-0.915477,55.789944,9.788578,9.579937,-0.096574,0.126905,-1.00719
449,0.3,17.490469,6.49774,0.321002,-0.030161,0.971874,-0.530021,-17.59659,-5.234132,0.283743,0.124757,0.705797,-0.488381,10.882233,-8.285918,-4.192795,0.092322,0.33549,-0.502002,5.6467,-5.74222,-1.209291,0.023377,0.077803,-0.4728,25.478741,5.279854,6.468795,-0.16416,0.707515,-0.654959,39.952015,4.497139,9.047125,-0.140241,0.41979,-0.895646,59.135941,9.595931,8.872101,-0.095842,0.146273,-1.003823
450,0.31,17.780313,6.320006,0.526251,-0.029733,0.973571,-0.499177,-16.231552,-4.926322,-0.02401,0.125004,0.704777,-0.461962,6.082693,-8.045092,-3.731073,0.093939,0.329288,-0.462045,0.651076,-6.708817,-1.906121,0.023617,0.073298,-0.407835,25.49711,5.001618,5.876018,-0.163275,0.709887,-0.624913,43.904118,4.71263,8.349979,-0.138223,0.432278,-0.874238,62.641953,9.707393,8.235599,-0.094652,0.167055,-0.999449
451,0.32,17.95509,5.897038,0.691675,-0.029408,0.974054,-0.468644,-15.019546,-4.55581,-0.25444,0.125865,0.702043,-0.435726,1.875583,-7.764429,-4.046785,0.095555,0.324226,-0.423053,-3.635903,-7.574418,-2.406235,0.024337,0.071147,-0.347308,25.301058,4.687534,5.125235,-0.162385,0.710834,-0.594192,47.981358,4.839305,7.600246,-0.136097,0.444407,-0.850986,66.324417,10.172411,7.665796,-0.093046,0.189042,-0.993543
452,0.33,18.010878,5.282139,0.817075,-0.029095,0.973311,-0.438438,-14.030337,-4.217983,-0.289024,0.127284,0.697945,-0.409497,-1.607761,-7.308941,-4.879186,0.097175,0.320241,-0.385103,-7.074175,-8.234641,-2.703744,0.025515,0.070386,-0.292297,24.98604,4.455488,4.120568,-0.161539,0.710359,-0.56299,52.138374,4.926969,6.846559,-0.13399,0.456048,-0.825612,70.075729,10.827822,7.171183,-0.091092,0.212108,-0.985506
453,0.34,17.951944,4.542112,0.91983,-0.028696,0.971356,-0.4086,-13.322038,-4.014912,0.072239,0.12907,0.692806,-0.382963,-4.278291,-6.792187,-5.674393,0.09877,0.316936,-0.348341,-9.564357,-8.724544,-2.898113,0.027007,0.069819,-0.24347,24.645935,4.335262,2.818759,-0.160769,0.708525,-0.531523,56.412079,5.026085,6.14841,-0.132003,0.467035,-0.797905,73.857101,11.453844,6.74332,-0.088917,0.236199,-0.974799
454,0.35,17.776854,3.75286,1.021536,-0.028149,0.968211,-0.379174,-12.981524,-4.089542,0.973554,0.130913,0.686901,-0.355704,-6.073247,-6.422781,-6.143982,0.100239,0.313685,-0.31318,-11.105197,-9.065259,-3.070048,0.028596,0.068386,-0.200982,24.299046,4.305431,1.323419,-0.160105,0.705368,-0.499888,60.871468,5.124995,5.577348,-0.130205,0.477115,-0.767716,77.740273,11.93593,6.387145,-0.086678,0.261185,-0.960994
455,0.36,17.485668,3.002596,1.134457,-0.027479,0.96393,-0.350173,-13.064643,-4.53405,2.06249,0.132389,0.680529,-0.327371,-6.976652,-6.216507,-6.433316,0.10153,0.309871,-0.28013,-11.778913,-9.298544,-3.244021,0.03005,0.065407,-0.164691,23.881756,4.353835,-0.168347,-0.159583,0.70081,-0.467949,65.488388,5.223369,5.17229,-0.128664,0.486017,-0.734992,81.787216,12.28236,6.134652,-0.084477,0.286748,-0.943779
456,0.37,17.07662,2.360628,1.26663,-0.026756,0.958618,-0.321562,-13.539228,-5.186228,2.732426,0.133129,0.674004,-0.297816,-7.023479,-6.051433,-6.751728,0.102723,0.305122,-0.249348,-11.645919,-9.498237,-3.396957,0.031228,0.060585,-0.134446,23.292477,4.393087,-1.496727,-0.159271,0.694759,-0.435521,70.13266,5.287156,4.939333,-0.127427,0.493549,-0.699827,85.967987,12.498295,6.000905,-0.08239,0.312426,-0.922928
457,0.38,16.541023,1.855939,1.430121,-0.026046,0.952384,-0.293283,-14.333355,-5.70191,2.773376,0.133099,0.667622,-0.26717,-6.278086,-5.922744,-7.175726,0.103884,0.299385,-0.220584,-10.664383,-9.53317,-3.547477,0.032165,0.054038,-0.110078,22.400454,4.275717,-2.571769,-0.159233,0.687185,-0.40253,74.690331,5.312607,4.755064,-0.126519,0.499624,-0.662438,90.172752,12.581347,5.954643,-0.080497,0.337697,-0.898306
458,0.39,15.860738,1.502956,1.624895,-0.025399,0.945298,-0.26527,-15.356542,-5.906993,2.287974,0.132643,0.661562,-0.235869,-4.824675,-5.92674,-7.69508,0.104843,0.292869,-0.193496,-8.703995,-9.030905,-3.67624,0.033018,0.046326,-0.091493,21.115841,3.972414,-3.394207,-0.15949,0.678142,-0.368975,79.114433,5.355298,4.479095,-0.125953,0.504236,-0.623089,94.260872,12.552402,5.962758,-0.078873,0.362005,-0.869879
